source,titre,prix,quartier,chambres,salles_de_bain,surface_m2,meuble,vue_mer,neuf,lien,surface_estimee,quartier_score
loger-dakar,Appartement meublé F4 à louer à liberté 6 extension,500000.0,Sicap,3.0,2.0,140.0,1.0,0.0,0.0,https://www.loger-dakar.com/Bien/appartement-meuble-f4-a-louer-a-liberte-6-extension-7/,1,559881.25
loger-dakar,Appartement F2 de standing à louer au point E sur l’avenue cheikh Anta Diop,550000.0,Point E,1.0,1.0,60.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/appartement-f2-de-standing-a-louer-au-point-e-sur-lavenue-cheikh-anta-diop-2/,1,1003072.2891566266
loger-dakar,Studio meublé F1 à louer aux maristes,300000.0,Hann Maristes,1.0,1.0,60.0,1.0,0.0,0.0,https://www.loger-dakar.com/Bien/studio-meuble-f1-a-louer-aux-maristes-6/,1,432187.5
loger-dakar,Bel appartement F4 lumineux à louer à fenêtre mermoz,1000000.0,Mermoz,3.0,3.0,140.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/bel-appartement-f4-lumineux-a-louer-a-fenetre-mermoz/,1,1032668.5082872928
loger-dakar,Appartement f4 à louer Fann résidence,1400000.0,Autre,3.0,4.0,140.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/appartement-f4-a-louer-fann-residence-3/,1,639511.9856115108
loger-dakar,Appartement F4 à louer à Mermoz,1000000.0,Mermoz,3.0,4.0,140.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/appartement-f4-a-louer-a-mermoz/,1,1032668.5082872928
loger-dakar,Appartement F4 à louer Fann résidence,1300000.0,Autre,4.0,5.0,180.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/appartement-f4-a-louer-fann-residence-2/,1,639511.9856115108
loger-dakar,BUREAU F3 À LOUER – COLOBANE (DAKAR),300000.0,Autre,2.0,2.0,100.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/bureau-f3-a-louer-colobane-dakar/,1,639511.9856115108
loger-dakar,Chambre indépendante +SDB+ Cuisine à louer à yoff route ecobank,125000.0,Yoff,1.0,1.0,60.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/chambre-independante-sdb-cuisine-a-louer-a-yoff-route-ecobank-2/,1,528798.4732824428
loger-dakar,APPARTEMENT F4 À LOUER CITÉ KEUR GORGUI,500000.0,Autre,3.0,3.0,140.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/appartement-f4-a-louer-cite-keur-gorgui-3/,1,639511.9856115108
loger-dakar,APPARTEMENT F3 À LOUER SICAP FOIRE,362600.0,Autre,2.0,3.0,100.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/appartement-f3-a-louer-sicap-foire-4/,1,639511.9856115108
loger-dakar,Studio F2 à louer à yoff route ecobank,160000.0,Yoff,1.0,1.0,60.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/studio-f2-a-louer-a-yoff-route-ecobank-3/,1,528798.4732824428
loger-dakar,APPARTEMENT F4 À LOUER SICAP FOIRE,600000.0,Autre,3.0,3.0,140.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/appartement-f4-a-louer-sicap-foire-3/,1,639511.9856115108
loger-dakar,Appartement F2 à louer au point E sur l’avenue cheikh Anta Diop,500000.0,Point E,1.0,1.0,60.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/appartement-f2-a-louer-au-point-e-sur-lavenue-cheikh-anta-diop/,1,1003072.2891566266
loger-dakar,Studio à louer aux mamelles,175000.0,Mamelles,1.0,1.0,60.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/studio-a-louer-aux-mamelles-2/,1,622633.1707317074
loger-dakar,📍 Almadies très belle appartement F4 vue sur mer 🌊 à louer,2000000.0,Almadies,3.0,3.0,140.0,0.0,1.0,0.0,https://www.loger-dakar.com/Bien/%f0%9f%93%8d-almadies-tres-belle-appartement-f4-vue-sur-mer-%f0%9f%8c%8a-a-louer/,1,1074463.5443349753
loger-dakar,📍Mamelles cité mbackyou faye immeuble neuf R+4 des appartements F4 à louer,475000.0,Mamelles,3.0,2.0,140.0,0.0,0.0,1.0,https://www.loger-dakar.com/Bien/%f0%9f%93%8dmamelles-cite-mbackyou-faye-immeuble-neuf-r4-des-appartements-f4-a-louer/,1,622633.1707317074
